"ProlificID","condBetween","duration.seconds","Consent","ConsentNeutral","Catch","emotions_before_sex_arousal","emotions_before_happy","emotions_before_sad","emotions_before_bored","emotions_before_tired","emotions_before_hunger","emotions_before_alert","emotions_before_angry","emotions_before_enthusiastic","emotions_before_interest","emotions_before_DO","RT_RMTE3_Page.Submit","RMTE3","RT_RMTE6_Page.Submit","RMTE6","RT_RMTE9_Page.Submit","RMTE9","RT_RMTE15_Page.Submit","RMTE15","RT_RMTE17_Page.Submit","RMTE17","RT_RMTE18_Page.Submit","RMTE18","RT_RMTE19_Page.Submit","RMTE19","RT_RMTE21_Page.Submit","RMTE21","RT_RMTE22_Page.Submit","RMTE22","RT_RMTE25_Page.Submit","RMTE25","RT_RMTE27_Page.Submit","RMTE27","RT_RMTE28_Page.Submit","RMTE28","RT_RMTE29_Page.Submit","RMTE29","RT_RMTE30_Page.Submit","RMTE30","RT_RMTE31_Page.Submit","RMTE31","RT_RMTE34_Page.Submit","RMTE34","RT_RMTE35_Page.Submit","RMTE35","emotions_after_sex_arousal","emotions_after_happy","emotions_after_sad","emotions_after_bored","emotions_after_tired","emotions_after_hunger","emotions_after_alert","emotions_after_angry","emotions_after_enthusiastic","emotions_after_interest","emotions_after_DO","attentionCheck_blank","attentionCheck_yes","Age","Gender","sexual_orientation","sexual_orientation_sad_TEXT","Comments","item_order","FL_sex_arousal21_DO","clipSex","clipNeutral","FL_alert6_DO","FL_sex_arousal15_DO","FL_happy51_DO","FL_happy95_DO","Emotions.before_DO","Emotions.after_DO","duration.minutes","duration_z","RMTE3_crct","RMTE6_crct","RMTE9_crct","RMTE15_crct","RMTE17_crct","RMTE18_crct","RMTE19_crct","RMTE21_crct","RMTE22_crct","RMTE25_crct","RMTE27_crct","RMTE28_crct","RMTE29_crct","RMTE30_crct","RMTE31_crct","RMTE34_crct","RMTE35_crct","RMET_mean_all","RMTE3_trial","RMTE6_trial","RMTE9_trial","RMTE15_trial","RMTE17_trial","RMTE18_trial","RMTE19_trial","RMTE21_trial","RMTE22_trial","RMTE25_trial","RMTE27_trial","RMTE28_trial","RMTE29_trial","RMTE30_trial","RMTE31_trial","RMTE34_trial","RMTE35_trial","clip_name","sex_arousal_diff","happy_diff","sad_diff","bored_diff","tired_diff","hunger_diff","alert_diff","angry_diff","enthusiastic_diff","interest_diff","sex_arousal_diff_Z_group","sex_arousal_diff_c"
"55bbcd94fdf99b3c998d5b57","Sexual",303,"Yes","","20",2,6,1,2,2,1,8,1,8,9,"Hungry|Sexually aroused|Tired|Alert|Bored|Sad|Interested|Enthusiastic|Angry|Happy","4.652","desire","5.268","impatient","4.326","preoccupied","3.178","contemplative","7.074","doubtful","5.205","decisive","9.083","sarcastic","5.112","fantasizing","5.44","preoccupied","6.626","interested","4.592","cautious","5.514","interested","2.343","reflective","2.754","flirtatious","4.804","confident","6.842","aghast","6.397","nervous",5,5,1,1,2,1,7,1,7,8,"Alert|Happy|Tired|Interested|Enthusiastic|Sad|Angry|Sexually aroused|Hungry|Bored","","Yes",36,"Male","Heterosexual or straight","","",", RMTE25, RMTE22, RMTE28, RMTE35, RMTE34, RMTE17, RMTE15, RMTE30, RMTE19, RMTE27, RMTE31, RMTE18, RMTE3, RMTE29, RMTE21, RMTE6, RMTE9","FL_124","SamTaylor_1st","","RMTE25-female|RMTE22-female|RMTE28-female|RMTE35-female","FL_98|FL_109|FL_110|FL_100","FL_264|FL_272|FL_280|FL_262","FL_296|FL_320|FL_310|FL_298|FL_300","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",5.05,-0.870303575991098,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0.823529411764706,13,16,17,7,6,12,9,15,2,1,10,3,14,8,11,5,4,"SamTaylor",3,-1,0,-1,0,0,-1,0,-1,-1,0.220459674530475,0.505263157894737
"56da175a610fc0000cb65827","Sexual",559,"Yes","","20",1,6,1,3,8,7,7,4,6,7,"Sexually aroused|Sad|Bored|Interested|Hungry|Tired|Angry|Enthusiastic|Alert|Happy","75.549","desire","10.492","alarmed","24.663","hostile","4.862","contemplative","9.478","aghast","8.867","decisive","6.191","tentative","3.424","fantasizing","6.982","preoccupied","7.702","interested","5.878","cautious","8.563","contented","5.059","reflective","12.533","hostile","13.544","confident","7.009","distrustful","8.969","nervous",7,6,4,3,5,3,7,4,6,4,"Bored|Tired|Enthusiastic|Sexually aroused|Angry|Interested|Hungry|Alert|Happy|Sad","","yes",41,"Male","Heterosexual or straight","","",", RMTE31, RMTE18, RMTE17, RMTE25, RMTE3, RMTE22, RMTE34, RMTE29, RMTE30, RMTE27, RMTE9, RMTE6, RMTE15, RMTE19, RMTE21, RMTE28, RMTE35","FL_124","SamTaylor_1st","","RMTE31-female|RMTE18-female|RMTE17-female|RMTE25-female","FL_95|FL_105|FL_98|FL_101","FL_278|FL_272|FL_256|FL_254","FL_302|FL_308|FL_310|FL_318|FL_328","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",9.31666666666667,0.0295327723074389,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0.705882352941177,5,12,11,13,3,2,14,15,6,4,10,16,8,9,1,7,17,"SamTaylor",6,0,3,0,-3,-4,0,0,0,-3,1.52943899205517,3.50526315789474
"571f8f1c936f5f0011c62cda","Sexual",432,"Yes","","20",7,2,5,5,6,8,5,6,2,4,"Sad|Bored|Sexually aroused|Happy|Enthusiastic|Angry|Alert|Tired|Interested|Hungry","4.562","desire","4.333","impatient","2.674","hostile","5.569","contemplative","2.627","playful","4.217","aghast","4.656","sarcastic","3.739","fantasizing","4.375","imploring","2.069","interested","2.955","reassuring","1.87","affectionate","2.016","impatient","2.358","flirtatious","3.417","confident","3.174","baffled","4.194","insisting",7,3,6,5,6,7,5,5,4,6,"Bored|Sexually aroused|Tired|Alert|Sad|Happy|Hungry|Interested|Enthusiastic|Angry","","yes",46,"Male","Heterosexual or straight","","",", RMTE15, RMTE35, RMTE19, RMTE21, RMTE6, RMTE9, RMTE25, RMTE22, RMTE18, RMTE3, RMTE30, RMTE17, RMTE29, RMTE31, RMTE28, RMTE27, RMTE34","FL_124","FloorSex_1st","","RMTE15-female|RMTE35-female|RMTE19-female|RMTE21-female","FL_112|FL_111|FL_104|FL_105","FL_262|FL_252|FL_278|FL_260","FL_320|FL_324|FL_318|FL_316|FL_326","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",7.2,-0.416870416106288,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0.352941176470588,10,5,6,1,12,9,3,4,8,7,16,15,13,11,14,17,2,"FloorSex",0,1,1,0,0,-1,0,-1,2,2,-1.08851964299422,-2.49473684210526
"573a34f614f69e000d7d670f","Neutral",512,"","Yes","20",1,5,1,2,3,3,3,1,4,5,"Tired|Enthusiastic|Happy|Interested|Sexually aroused|Bored|Alert|Hungry|Angry|Sad","7.885","convinced","7.846","fantasizing","7.802","preoccupied","16.276","encouraging","6.204","doubtful","7.486","decisive","11.183","tentative","6.887","fantasizing","6.646","preoccupied","7.065","interested","4.807","cautious","13.102","interested","8.197","irritated","9.407","flirtatious","5.05","confident","15.304","baffled","6.154","nervous",2,5,2,2,2,2,8,1,4,7,"Alert|Bored|Happy|Interested|Sad|Hungry|Tired|Angry|Enthusiastic|Sexually aroused","","yes",42,"Male","Heterosexual or straight","","",", RMTE15, RMTE19, RMTE34, RMTE29, RMTE30, RMTE18, RMTE17, RMTE27, RMTE6, RMTE22, RMTE9, RMTE31, RMTE28, RMTE21, RMTE35, RMTE3, RMTE25","FL_125","","MadMen_1st","RMTE15-female|RMTE19-female|RMTE34-female|RMTE29-female","FL_100|FL_108|FL_109|FL_103","FL_254|FL_268|FL_256|FL_280","FL_318|FL_310|FL_328|FL_296|FL_314","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",8.53333333333333,-0.135671557262996,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0.764705882352941,16,9,11,1,7,6,2,14,10,17,8,13,4,5,12,3,15,"MadMen",1,0,1,0,-1,-1,5,0,0,2,0.601587443242042,0.736842105263158
"575eac46862b0f0006cd7dee","Sexual",334,"Yes","","20",1,7,1,1,5,1,7,1,8,8,"Sexually aroused|Alert|Happy|Tired|Bored|Hungry|Enthusiastic|Sad|Interested|Angry","3.628","desire","10.149","fantasizing","3.014","preoccupied","3.825","contemplative","7.563","doubtful","6.865","amused","4.572","tentative","4.321","fantasizing","3.502","preoccupied","3.261","interested","5.996","cautious","7.252","affectionate","3.266","reflective","2.302","flirtatious","3.881","confident","6.125","baffled","6.021","nervous",1,6,1,1,7,1,7,1,8,7,"Angry|Sad|Sexually aroused|Hungry|Interested|Enthusiastic|Happy|Bored|Alert|Tired","","yes",44,"Male","Heterosexual or straight","","",", RMTE17, RMTE18, RMTE21, RMTE6, RMTE9, RMTE29, RMTE34, RMTE22, RMTE15, RMTE25, RMTE28, RMTE19, RMTE27, RMTE31, RMTE35, RMTE30, RMTE3","FL_124","FloorSex_1st","","RMTE17-female|RMTE18-female|RMTE21-female|RMTE6-female","FL_111|FL_101|FL_98|FL_105","FL_258|FL_270|FL_274|FL_264","FL_316|FL_324|FL_328|FL_322|FL_296","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",5.56666666666667,-0.761339018189322,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0.823529411764706,17,4,5,9,1,2,12,3,8,10,13,11,6,16,14,7,15,"FloorSex",0,-1,0,0,2,0,0,0,0,-1,-1.08851964299422,-2.49473684210526
"586d6b28de1cea0001f7a125","Sexual",822,"Yes","","20",1,7,1,1,1,1,9,1,9,9,"Sexually aroused|Happy|Angry|Alert|Sad|Hungry|Enthusiastic|Interested|Bored|Tired","16.971","desire","12.403","impatient","6.164","preoccupied","6.686","contemplative","9","doubtful","5.601","decisive","13.671","tentative","8.459","fantasizing","8.991","preoccupied","20.018","incredulous","14.357","cautious","16.857","interested","4.561","reflective","8.54","flirtatious","8.324","confident","20.911","distrustful","18.571","nervous",9,8,1,1,1,1,9,1,9,9,"Angry|Happy|Alert|Enthusiastic|Hungry|Sad|Interested|Sexually aroused|Bored|Tired","","yes",44,"Male","Heterosexual or straight","","",", RMTE28, RMTE22, RMTE19, RMTE35, RMTE34, RMTE17, RMTE25, RMTE18, RMTE15, RMTE9, RMTE27, RMTE21, RMTE31, RMTE30, RMTE3, RMTE29, RMTE6","FL_124","FloorSex_1st","","RMTE28-female|RMTE22-female|RMTE19-female|RMTE35-female","FL_98|FL_109|FL_104|FL_108","FL_258|FL_256|FL_272|FL_266","FL_324|FL_322|FL_296|FL_320|FL_298","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",13.7,0.953974020754764,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.882352941176471,15,17,10,9,6,8,3,12,2,7,11,1,16,14,13,5,4,"FloorSex",8,1,0,0,0,0,0,0,0,0,2.40209187040497,5.50526315789474
"586fabdf2bd3c900018599a9","Neutral",622,"","Yes","20",1,5,3,5,5,2,7,1,5,7,"Interested|Sexually aroused|Tired|Sad|Angry|Hungry|Happy|Bored|Enthusiastic|Alert","8.935","convinced","24.264","impatient","7.701","preoccupied","5.056","contemplative","38.299","doubtful","17.583","decisive","8.845","tentative","61.785","embarrassed","7.419","preoccupied","12.565","panicked","8.054","reassuring","24.054","interested","9.545","reflective","6.616","flirtatious","25.79","confident","12.985","baffled","4.231","nervous",1,5,2,5,5,2,7,1,5,5,"Hungry|Tired|Sexually aroused|Enthusiastic|Happy|Angry|Interested|Sad|Alert|Bored","","yes",48,"Male","Heterosexual or straight","","",", RMTE6, RMTE19, RMTE27, RMTE9, RMTE28, RMTE21, RMTE15, RMTE30, RMTE31, RMTE25, RMTE17, RMTE3, RMTE22, RMTE34, RMTE18, RMTE29, RMTE35","FL_125","","MadMen_1st","RMTE6-female|RMTE19-female|RMTE27-female|RMTE9-female","FL_102|FL_106|FL_110|FL_100","FL_280|FL_270|FL_260|FL_252","FL_312|FL_326|FL_306|FL_320|FL_328","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",10.3666666666667,0.250976873646532,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0.647058823529412,12,1,4,7,11,15,2,6,13,10,3,5,16,8,9,14,17,"MadMen",0,0,-1,0,0,0,0,0,0,-2,-0.339605814733411,-0.263157894736842
"58a465bc9b4be40001fdd51a","Neutral",430,"","Yes","20",2,5,5,6,8,3,3,3,4,5,"Bored|Tired|Alert|Hungry|Sad|Happy|Angry|Sexually aroused|Enthusiastic|Interested","8.704","desire","13.186","impatient","15.043","preoccupied","10.026","contemplative","3.892","doubtful","4.036","decisive","8.287","tentative","16.984","fantasizing","9.881","preoccupied","7.962","interested","5.708","cautious","7.029","interested","9.346","reflective","5.89","flirtatious","6.098","joking","8.684","distrustful","9.987","puzzled",2,3,3,3,7,3,7,1,3,5,"Tired|Enthusiastic|Interested|Happy|Sad|Hungry|Sexually aroused|Alert|Bored|Angry","","yes",42,"Male","Heterosexual or straight","","",", RMTE3, RMTE21, RMTE22, RMTE29, RMTE9, RMTE31, RMTE34, RMTE19, RMTE25, RMTE17, RMTE15, RMTE35, RMTE30, RMTE27, RMTE18, RMTE6, RMTE28","FL_125","","MadMen_1st","RMTE3-female|RMTE21-female|RMTE22-female|RMTE29-female","FL_111|FL_99|FL_98|FL_107","FL_270|FL_260|FL_258|FL_284","FL_322|FL_316|FL_306|FL_298|FL_318","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",7.16666666666667,-0.423900387577371,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.823529411764706,1,16,5,11,10,15,8,2,3,9,14,17,4,13,6,7,12,"MadMen",0,-2,-2,-3,-1,0,4,-2,-1,0,-0.339605814733411,-0.263157894736842
"593c525e3d26370001892b4b","Sexual",818,"Yes","","20",1,3,1,2,3,3,3,1,3,5,"Angry|Tired|Happy|Hungry|Enthusiastic|Sexually aroused|Alert|Interested|Sad|Bored","11.562","desire","22.521","fantasizing","19.456","preoccupied","14.797","contemplative","12.592","doubtful","10.659","amused","27.25","sarcastic","14.9","fantasizing","13.65","preoccupied","16.769","interested","11.284","cautious","11.778","interested","18.244","reflective","7.445","flirtatious","9.088","confident","37.006","aghast","20.786","contemplative",1,3,1,2,2,2,2,1,1,4,"Enthusiastic|Bored|Sexually aroused|Tired|Alert|Happy|Angry|Hungry|Interested|Sad","","yes",36,"Male","Heterosexual or straight","","",", RMTE9, RMTE21, RMTE30, RMTE17, RMTE6, RMTE29, RMTE19, RMTE3, RMTE27, RMTE22, RMTE18, RMTE35, RMTE15, RMTE34, RMTE25, RMTE31, RMTE28","FL_124","BedroomOral_1st","","RMTE9-female|RMTE21-female|RMTE30-female|RMTE17-female","FL_112|FL_101|FL_107|FL_95","FL_272|FL_268|FL_262|FL_284","FL_302|FL_326|FL_314|FL_324|FL_318","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",13.6333333333333,0.939914077812599,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0.764705882352941,8,5,1,13,4,11,7,2,10,15,9,17,6,3,16,14,12,"BedroomOral",0,0,0,0,-1,-1,-1,0,-2,-1,-1.08851964299422,-2.49473684210526
"596cb7a35ad3920001cae434","Sexual",406,"Yes","","20",2,2,4,4,2,4,3,1,2,3,"Angry|Bored|Alert|Sad|Enthusiastic|Happy|Interested|Sexually aroused|Tired|Hungry","7.118","desire","6.865","impatient","6.952","preoccupied","4.365","contemplative","6.619","doubtful","6.675","decisive","6.101","tentative","5.101","fantasizing","4.962","preoccupied","5.385","interested","7.378","cautious","7.666","interested","8.901","impatient","7.224","flirtatious","5.324","confident","6.285","distrustful","5.613","nervous",6,2,3,3,2,4,2,1,2,3,"Interested|Hungry|Happy|Alert|Tired|Sad|Angry|Enthusiastic|Bored|Sexually aroused","","yes",23,"Male","Heterosexual or straight","","",", RMTE27, RMTE35, RMTE29, RMTE30, RMTE17, RMTE31, RMTE22, RMTE3, RMTE21, RMTE9, RMTE28, RMTE25, RMTE19, RMTE34, RMTE6, RMTE18, RMTE15","FL_124","BedroomOral_1st","","RMTE27-female|RMTE35-female|RMTE29-female|RMTE30-female","FL_109|FL_99|FL_105|FL_95","FL_266|FL_256|FL_274|FL_270","FL_308|FL_326|FL_298|FL_306|FL_302","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",6.76666666666667,-0.508260045230358,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.882352941176471,8,15,10,17,5,16,13,9,7,12,1,11,3,4,6,14,2,"BedroomOral",4,0,-1,-1,0,0,-1,0,0,0,0.656786113705373,1.50526315789474
"5980fff19bf4fe0001070984","Neutral",1174,"","Yes","20",1,1,7,5,7,2,4,5,1,2,"Interested|Sexually aroused|Happy|Alert|Hungry|Enthusiastic|Sad|Bored|Tired|Angry","10.049","flustered","6.589","fantasizing","8.987","preoccupied","5.162","amused","6.175","doubtful","9.754","aghast","8.406","tentative","7.837","fantasizing","6.288","preoccupied","4.304","panicked","9.052","cautious","12.796","interested","13.737","reflective","11.7","disappointed","13.648","ashamed","6.152","terrified","5.947","nervous",1,1,8,3,5,1,3,2,1,1,"Interested|Angry|Sexually aroused|Bored|Hungry|Happy|Enthusiastic|Tired|Alert|Sad","","yes",44,"Male","Heterosexual or straight","","",", RMTE27, RMTE30, RMTE6, RMTE21, RMTE19, RMTE31, RMTE22, RMTE35, RMTE3, RMTE18, RMTE17, RMTE15, RMTE34, RMTE9, RMTE28, RMTE25, RMTE29","FL_125","","WallE_1st","RMTE27-female|RMTE30-female|RMTE6-female|RMTE21-female","FL_107|FL_99|FL_105|FL_97","FL_252|FL_262|FL_260|FL_258","FL_326|FL_300|FL_318|FL_314|FL_320","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",19.5666666666667,2.19124899966525,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0.588235294117647,9,3,14,12,11,10,5,4,7,16,1,15,17,2,6,13,8,"WallE",0,0,1,-2,-2,-1,-1,-3,0,-1,-0.339605814733411,-0.263157894736842
"598971de71fb500001aaa40c","Neutral",515,"","Yes","20",2,7,1,1,2,2,8,1,7,8,"Enthusiastic|Sexually aroused|Angry|Tired|Sad|Bored|Alert|Happy|Hungry|Interested","9.96","desire","5.807","fantasizing","6.102","preoccupied","9.881","contemplative","7.997","doubtful","5.392","decisive","10.577","arrogant","4.606","fantasizing","10.304","preoccupied","4.572","interested","7.238","cautious","6.107","interested","24.503","reflective","4.499","flirtatious","8.381","confident","19.705","baffled","7.349","insisting",3,8,1,1,1,2,8,1,8,8,"Bored|Sad|Interested|Alert|Enthusiastic|Hungry|Sexually aroused|Tired|Happy|Angry","","yes",31,"Male","Heterosexual or straight","","",", RMTE34, RMTE17, RMTE15, RMTE22, RMTE35, RMTE27, RMTE6, RMTE19, RMTE29, RMTE30, RMTE21, RMTE3, RMTE28, RMTE25, RMTE9, RMTE18, RMTE31","FL_125","","CocktailDate_1st","RMTE34-female|RMTE17-female|RMTE15-female|RMTE22-female","FL_97|FL_103|FL_112|FL_107","FL_276|FL_278|FL_266|FL_252","FL_318|FL_314|FL_300|FL_306|FL_324","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",8.58333333333333,-0.125126600056372,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.823529411764706,12,7,15,3,2,16,8,11,4,14,6,13,9,10,17,1,5,"CocktailDate",1,1,0,0,-1,0,0,0,1,0,0.601587443242042,0.736842105263158
"59b69d4fb269ef0001801733","Sexual",570,"Yes","","20",1,2,5,3,6,5,4,1,5,7,"Enthusiastic|Angry|Tired|Sad|Alert|Interested|Happy|Sexually aroused|Bored|Hungry","3.811","desire","5.752","impatient","6.48","preoccupied","4.424","contemplative","5.485","doubtful","9.243","decisive","7.887","grateful","5.866","fantasizing","5.719","preoccupied","6.434","incredulous","6.121","cautious","6.518","interested","3.171","reflective","4.152","flirtatious","8.001","confident","6.369","distrustful","5.708","puzzled",6,4,3,1,6,7,7,1,7,8,"Bored|Alert|Interested|Sad|Angry|Hungry|Tired|Happy|Enthusiastic|Sexually aroused","","Yes",36,"Male","Heterosexual or straight","","",", RMTE30, RMTE9, RMTE18, RMTE19, RMTE17, RMTE28, RMTE34, RMTE35, RMTE15, RMTE31, RMTE22, RMTE21, RMTE27, RMTE25, RMTE29, RMTE3, RMTE6","FL_124","BedroomOral_1st","","RMTE30-female|RMTE9-female|RMTE18-female|RMTE19-female","FL_109|FL_102|FL_98|FL_97","FL_258|FL_280|FL_268|FL_266","FL_316|FL_314|FL_320|FL_296|FL_298","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",9.5,0.0681976153983916,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.764705882352941,16,17,2,9,5,3,4,12,11,14,13,6,15,1,10,7,8,"BedroomOral",5,2,-2,-2,0,2,3,0,2,1,1.09311255288027,2.50526315789474
"5a30078e1f4fab00014991ba","Sexual",459,"Yes","","20",1,3,3,5,1,1,7,2,2,3,"Tired|Hungry|Sexually aroused|Angry|Alert|Bored|Sad|Enthusiastic|Interested|Happy","3.552","desire","3.518","fantasizing","4.138","preoccupied","2.749","contemplative","11.253","affectionate","8.846","decisive","3.812","tentative","5.246","fantasizing","2.648","preoccupied","3.882","interested","5.084","cautious","4.801","affectionate","53.3","reflective","2.497","flirtatious","6.231","confident","6.086","distrustful","10.905","nervous",4,3,4,1,3,2,4,3,3,4,"Tired|Sad|Happy|Hungry|Angry|Enthusiastic|Alert|Bored|Sexually aroused|Interested","","yes",23,"Male","Heterosexual or straight","","",", RMTE17, RMTE25, RMTE31, RMTE21, RMTE18, RMTE29, RMTE35, RMTE30, RMTE9, RMTE6, RMTE22, RMTE27, RMTE34, RMTE28, RMTE19, RMTE15, RMTE3","FL_124","SamTaylor_1st","","RMTE17-female|RMTE25-female|RMTE31-female|RMTE21-female","FL_108|FL_101|FL_97|FL_100","FL_256|FL_254|FL_268|FL_272","FL_326|FL_318|FL_308|FL_302|FL_296","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",7.65,-0.321965801246677,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.882352941176471,17,10,9,16,1,5,15,4,11,2,12,14,6,8,3,13,7,"SamTaylor",3,0,1,-4,2,1,-3,1,1,1,0.220459674530475,0.505263157894737
"5a4d194c87c6f8000137d680","Sexual",437,"Yes","","20",3,7,1,5,6,5,6,1,5,6,"Angry|Sexually aroused|Hungry|Bored|Enthusiastic|Interested|Alert|Happy|Tired|Sad","6.13","desire","6.797","fantasizing","22.842","preoccupied","10.546","contemplative","7.499","affectionate","6.807","bored","13.802","grateful","4.252","fantasizing","5.553","preoccupied","5.802","interested","10.974","cautious","4.891","interested","17.731","reflective","5.054","flirtatious","4.494","confident","6.402","distrustful","13.617","insisting",7,7,1,2,3,3,7,1,5,7,"Bored|Sexually aroused|Interested|Enthusiastic|Hungry|Happy|Sad|Tired|Alert|Angry","","yes",47,"Male","Heterosexual or straight","","",", RMTE17, RMTE15, RMTE35, RMTE30, RMTE6, RMTE27, RMTE9, RMTE25, RMTE19, RMTE22, RMTE28, RMTE29, RMTE34, RMTE21, RMTE3, RMTE31, RMTE18","FL_124","SamTaylor_1st","","RMTE17-female|RMTE15-female|RMTE35-female|RMTE30-female","FL_112|FL_103|FL_111|FL_104","FL_264|FL_268|FL_274|FL_276","FL_326|FL_310|FL_296|FL_324|FL_306","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",7.28333333333333,-0.399295487428582,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0.764705882352941,15,5,7,2,1,17,9,14,10,8,6,11,12,4,16,13,3,"SamTaylor",4,0,0,-3,-3,-2,1,0,0,1,0.656786113705373,1.50526315789474
"5a847fd2aa46dd00016ba03c","Sexual",468,"Yes","","20",1,5,2,4,2,3,7,1,6,6,"Bored|Happy|Alert|Angry|Sexually aroused|Tired|Interested|Hungry|Sad|Enthusiastic","4.021","desire","7.541","impatient","5.184","annoyed","8.478","encouraging","4.491","doubtful","8.599","decisive","3.901","tentative","6.34","fantasizing","4.053","imploring","37.644","incredulous","8.741","cautious","6.71","interested","4.364","reflective","4.654","flirtatious","7.93","confident","4.109","distrustful","3.851","contemplative",2,4,1,5,2,3,8,5,6,4,"Sad|Bored|Tired|Angry|Interested|Hungry|Happy|Enthusiastic|Alert|Sexually aroused","","yes",33,"Male","Heterosexual or straight","","",", RMTE15, RMTE9, RMTE6, RMTE35, RMTE21, RMTE30, RMTE29, RMTE28, RMTE18, RMTE31, RMTE19, RMTE3, RMTE27, RMTE17, RMTE22, RMTE34, RMTE25","FL_124","BedroomOral_1st","","RMTE15-female|RMTE9-female|RMTE6-female|RMTE35-female","FL_106|FL_100|FL_101|FL_102","FL_262|FL_280|FL_264|FL_252","FL_316|FL_304|FL_312|FL_326|FL_314","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",7.8,-0.290330929626807,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0.647058823529412,12,3,2,1,14,9,11,5,15,17,13,8,7,6,10,16,4,"BedroomOral",1,-1,-1,1,0,0,1,4,0,-2,-0.652193203819322,-1.49473684210526
"5aeb4aff51a97200012bb5e7","Neutral",1211,"","Yes","20",1,4,1,6,5,2,5,1,3,4,"Bored|Sad|Sexually aroused|Hungry|Enthusiastic|Tired|Happy|Angry|Alert|Interested","4.217","desire","7.377","alarmed","2.598","annoyed","9.316","contemplative","5.329","doubtful","5.571","decisive","7.755","tentative","3.778","fantasizing","3.234","insisting","4.362","despondent","5.833","cautious","6.725","affectionate","5.737","irritated","6.8","flirtatious","3.496","confident","4.307","distrustful","3.783","puzzled",1,3,1,3,4,2,4,1,4,6,"Hungry|Angry|Bored|Happy|Interested|Enthusiastic|Alert|Sad|Sexually aroused|Tired","","yes",33,"Male","Heterosexual or straight","","",", RMTE15, RMTE34, RMTE3, RMTE29, RMTE19, RMTE28, RMTE31, RMTE27, RMTE35, RMTE17, RMTE21, RMTE6, RMTE9, RMTE30, RMTE22, RMTE18, RMTE25","FL_125","","CocktailDate_1st","RMTE15-female|RMTE34-female|RMTE3-female|RMTE29-female","FL_107|FL_102|FL_99|FL_103","FL_284|FL_260|FL_266|FL_254","FL_300|FL_322|FL_312|FL_306|FL_314","emotions_inst_before|emotions_before","emotions_inst_after|emotions_after",20.1833333333333,2.32130347188027,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0.588235294117647,3,12,13,1,10,16,5,11,15,17,8,6,4,14,7,2,9,"CocktailDate",0,-1,0,-3,-1,0,-1,0,1,2,-0.339605814733411,-0.263157894736842
